Część budżetowa;Dział;Rozdział;Paragraf;Źródło finansowania;Grupa wydatków;Budżet zadaniowy (w pełnej szczegółowości);Budżet zadaniowy (nr funkcji, nr zadania);Nazwa programu/projektu;Nazwa komórki organizacyjnej;Plan WI;Dysponent środków;Budżet;Nazwa zadania;Szczegółowe uzasadnienie realizacji zdania;Przeznaczenie wydatków wg obszaru działalności: cyberbezpieczeństwo/sztuczna inteligencja/koszty funkcjonowania/inne (wpisać jakie?);Potrzeby finansowe na 2026 rok;Limit wydatków na rok 2026;Kwota na realizację zadań w 2026 roku, która nie została zabezpieczona w limicie (kol. 17-kol. 18);Kwota zawartej umowy/wniosku o udzielenie zamówienia publicznego;Nr umowy/nr wniosku o udzielenie zamówienia publicznego;Potrzeby finansowe na 2027 rok;Limit wydatków na rok 2027;Kwota na realizację zadań w 2026 roku, która nie została zabezpieczona w limicie (kol. 22-kol. 23);Kwota zawartej umowy/wniosku o udzielenie zamówienia publicznego.1;Nr umowy/nr wniosku o udzielenie zamówienia publicznego.1;Potrzeby finansowe na 2028 rok;Limit wydatków na rok 2028;Kwota na realizację zadań w 2026 roku, która nie została zabezpieczona w limicie (kol. 27-kol. 28);Kwota zawartej umowy/wniosku o udzielenie zamówienia publicznego.2;Nr umowy/nr wniosku o udzielenie zamówienia publicznego.2;Potrzeby finansowe na 2029 rok;Limit wydatków na rok 2029;Kwota na realizację zadań w 2026 roku, która nie została zabezpieczona w limicie (kol. 32-kol. 33);Kwota zawartej umowy/wniosku o udzielenie zamówienia publicznego.3;Nr umowy/nr wniosku o udzielenie zamówienia publicznego.3;W przypadku dotacji - z kim zawarta umowa/planowana do zawarcia umowa;Podstawa prawna udzielenia dotacji;Uwagi
15;750;3.0;4.0;5.0;6;7;8.0;9;10;11;12;13;michal;15;16;17.0;18.0;19.0;20;21;10000;23.0;24.0;25;26;27.0;28.0;29.0;30;31;32.0;33.0;34.0;35;36;37;38;39
27.0;750.0;75001.0;400.0;0.0;wydatki bieżące jednostek budżetowych;22.01.01.01;22.01;nie dotyczy;Departament A;nie dotyczy;D3;WB27.BP.PF;audyt bezpieczeństwa informacji zgodnie z normą ISO 27001;Audyt bezpieczeństwa informacji zgodnie z normą ISO 27001;koszty funkcjonowania;5.0;2.0;3.0;-;nie dotyczy;5.0;5.0;0.0;-;nie dotyczy;5.0;4.0;1.0;-;nie dotyczy;5.0;2.0;3.0;-;nie dotyczy;nie dotyczy;-;-
27.0;750.0;75001.0;400.0;1.0;wydatki na realizację programów finansowanych z udziałem środków, o których mowa w art. 5 ust. 1 pkt 2 ustawy, w tym wydatki budżetu środków europejskich;16.05.02.02;16.05;Program Cyfrowa Europa;Departament A;nie dotyczy;D3;WB27.BP.PF;organizacja konferencji;"Kompleksowa organizacja konferencji pn. ""Gdkfhudjklaksjdtewa""";cyberbezpieczeństwo;20.0;10.0;10.0;-;nie dotyczy;20.0;10.0;10.0;-;nie dotyczy;20.0;10.0;10.0;-;nie dotyczy;20.0;10.0;10.0;-;nie dotyczy;nie dotyczy;-;-
27.0;750.0;75001.0;400.0;2.0;wydatki na realizację programów finansowanych z udziałem środków, o których mowa w art. 5 ust. 1 pkt 2 ustawy, w tym wydatki budżetu środków europejskich;16.05.02.02;16.05;Program Cyfrowa Europa;Departament A;nie dotyczy;D3;WB27.BP.PF;organizacja konferencji;"Kompleksowa organizacja konferencji pn. ""Gdkfhudjklaksjdtewa""";cyberbezpieczeństwo;10.0;5.0;5.0;-;nie dotyczy;10.0;5.0;5.0;-;nie dotyczy;10.0;5.0;5.0;-;nie dotyczy;10.0;5.0;5.0;-;nie dotyczy;nie dotyczy;-;-
27.0;750.0;75001.0;606.0;0.0;wydatki majątkowe;22.01.01.01;22.01;nie dotyczy;Departament A;PI.25.A11-27;D3;WB27.BP.PF;zakup sprzętu komputerowego;Zakup 10 szt. komputerów ;koszty funkcjonowania;120.0;120.0;0.0;-;nie dotyczy;120.0;120.0;0.0;-;nie dotyczy;120.0;120.0;0.0;-;nie dotyczy;120.0;120.0;0.0;-;nie dotyczy;nie dotyczy;-;-
27.0;750.0;75001.0;283.0;0.0;dotacje i subwencje;16.05.01.01;16.05;nie dotyczy;Departament B;nie dotyczy;D1;DGW27.BP.PF;dotacja celowa na wydatki bieżące;"Dotacja celowa na realizację zadania pn. ""Abcdefghijklmnop""";sztuczna inteligencja;50.0;45.0;5.0;-;nie dotyczy;50.0;47.0;3.0;-;nie dotyczy;50.0;49.0;1.0;-;nie dotyczy;50.0;49.0;1.0;-;nie dotyczy;OGRODNIK;art. 5 ustawy z dnia 5 września 2025 r. (Dz. U. z 2025 r. poz. 180);umowa na rok 2026 będzie zawarta w grudniu 2025 r.
27.0;720.0;72030.0;417.0;0.0;wydatki bieżące jednostek budżetowych;22.01.01.01;22.01;nie dotyczy;Departament B;nie dotyczy;D3;WB27.BP.PF;umowa-zlecenie;Umowa-zlecenie na opracowanie ekspertyzy dot. dezinformacji;cyberbezpieczeństwo;5.0;2.0;3.0;-;nie dotyczy;5.0;2.0;3.0;-;nie dotyczy;5.0;2.0;3.0;-;nie dotyczy;5.0;2.0;3.0;-;nie dotyczy;nie dotyczy;-;-
27.0;750.0;75001.0;623.0;0.0;wydatki majątkowe;16.05.01.01;16.05;nie dotyczy;Departament B;PI.25.D01-27;D1;DGW27.BP.PF;dotacja celowa na wydatki inwestycyjne;"Dotacja celowana wydatki inwestycyjne związane z realizacją zadania pn. ""Ponmlkjihgfedcba""";sztuczna inteligencja;50.0;45.0;5.0;-;nie dotyczy;50.0;45.0;5.0;-;nie dotyczy;50.0;45.0;5.0;-;nie dotyczy;50.0;45.0;5.0;-;nie dotyczy;OGRODNIK;art. 5 ustawy z dnia 5 września 2025 r. (Dz. U. z 2025 r. poz. 180);umowa na rok 2026 będzie zawarta w grudniu 2025 r.
27.0;750.0;75001.0;400.0;0.0;wydatki bieżące jednostek budżetowych;22.01.01.01;22.01;nie dotyczy;Biuro C;nie dotyczy;D3;WB27.BP.PF;zakup artykułów biurowych;Zakup długopisów, zakup papieru;koszty funkcjonowania;1.0;1.0;0.0;1;umowa nr 280/BC/2025;1.0;1.0;0.0;1;umowa nr 280/BC/2025;1.0;1.0;0.0;1;umowa nr 280/BC/2025;1.0;1.0;0.0;1;umowa nr 280/BC/2025;nie dotyczy;-;umowa jest zawarta do 30 października 2026 r., konieczne środki na jej kontynuację do końca 2026 r.
27.0;750.0;75001.0;448.0;0.0;wydatki bieżące jednostek budżetowych;22.01.01.01;22.01;nie dotyczy;Biuro C;nie dotyczy;D3;WB27.BP.PF;podatek od nieruchomości ;Zapłata podatku od nieruchomości - budynek przy ul. Berberysowej 15 w Warszawie;koszty funkcjonowania;10.0;10.0;0.0;10;umowa nr 150/BC/2025;10.0;10.0;0.0;10;umowa nr 150/BC/2025;10.0;10.0;0.0;10;umowa nr 150/BC/2025;10.0;10.0;0.0;10;umowa nr 150/BC/2025;nie dotyczy;-;-
